item_id,item_details,item_type,Status,created_date,cat_id,unit_price,tax_per
100,Paper Towels,indirect,Active,2016-01-15,316,2.23,2.36
101,Office Chair,indirect,Active,2022-07-30,316,4.21,0.99
102,Stapler,direct,Inactive,2023-04-11,311,4.72,2.55
103,Notebook,indirect,Inactive,2018-09-06,303,3.68,2.5
104,Ballpoint Pen,direct,Inactive,2017-10-18,316,4.15,1.61
105,Desk Lamp,indirect,Active,2015-07-06,320,2.52,2.12
106,Computer Monitor,indirect,Active,2015-06-01,309,2.49,1.08
107,Keyboard,direct,Active,2020-05-07,303,2.02,2.52
108,Mouse,direct,Inactive,2020-02-11,309,4.1,1.82
109,Printer,direct,Active,2016-02-28,304,1.02,0.6
110,Filing Cabinet,direct,Inactive,2019-06-01,315,2.1,0.76
111,Desk Organizer,direct,Inactive,2020-10-14,313,3.85,0.61
112,Whiteboard,indirect,Active,2018-09-03,315,1.24,2.57
113,Projector,direct,Active,2019-06-15,305,2.58,1.05
114,Scissors,direct,Inactive,2017-09-25,311,1.42,0.58
115,Glue Stick,direct,Active,2016-01-17,313,3.51,1.64
116,Tape Dispenser,indirect,Inactive,2020-01-21,317,3.65,1.36
117,Binder Clips,direct,Active,2024-02-10,304,4.09,1.91
118,Push Pins,indirect,Inactive,2020-02-03,306,2.83,1.86
119,Rubber Bands,direct,Inactive,2015-04-16,304,3.49,2.73
120,Paper Shredder,direct,Active,2023-05-01,303,1.49,2.96
121,Trash Can,indirect,Inactive,2023-12-12,302,4.24,0.91
122,Clipboard,direct,Active,2021-05-18,315,2.11,2.46
123,Desk Pad,direct,Inactive,2017-03-13,315,2.41,2.8
124,Highlighter,direct,Active,2022-04-03,306,2.14,2.46
125,Index Cards,indirect,Active,2016-10-29,301,2.15,0.92
126,Post-it Notes,direct,Inactive,2016-10-22,317,4.41,2.37
127,Dry Erase Markers,direct,Active,2017-01-31,307,4.48,1.88
128,Desk Clock,direct,Active,2019-09-12,312,3.4,0.61
129,File Folder,indirect,Inactive,2015-10-24,302,4.08,2.08
130,Bookends,indirect,Active,2018-10-24,319,3.09,1.52
131,Hole Punch,direct,Inactive,2017-07-07,307,3.47,2.27
132,Letter Opener,direct,Active,2023-08-30,303,1.52,2.38
133,Calculator,indirect,Active,2016-08-18,308,3.25,0.75
134,Laptop Stand,indirect,Inactive,2017-02-17,316,1.56,2.91
135,Mouse Pad,direct,Active,2023-10-30,310,4.19,2.53
136,Phone Stand,direct,Inactive,2022-02-05,316,1.03,2.13
137,Document Scanner,indirect,Inactive,2021-04-09,320,2.11,1.02
138,USB Flash Drive,direct,Inactive,2017-09-25,301,4.87,0.51
139,Surge Protector,direct,Inactive,2022-11-09,308,1.26,2.45
140,Label Maker,indirect,Inactive,2015-05-07,307,2.09,2.91
141,Eraser,direct,Active,2022-04-26,318,4.27,1.82
142,Chalk,direct,Active,2019-10-31,312,4.19,1.61
143,Pencil Sharpener,direct,Active,2024-02-06,311,2.8,2.59
144,Notepad,direct,Inactive,2020-01-31,301,4.81,1.22
145,Paper Clips,direct,Active,2017-05-09,316,1.91,2.5
146,Magazine Holder,direct,Inactive,2024-02-18,313,1.3,1.62
147,Storage Box,direct,Inactive,2023-09-21,319,2.43,2.65
148,Desk Fan,direct,Active,2016-08-23,310,1.18,2.64
149,Headphones,indirect,Inactive,2015-04-12,320,3.5,2.52
150,Desk Drawer Organizer,direct,Inactive,2018-07-10,311,3.77,0.85
151,Wireless Charger,indirect,Inactive,2015-11-30,317,3.36,2.36
152,Sticky Notes,indirect,Active,2018-06-16,301,3.15,1.8
153,Staple Remover,direct,Inactive,2018-12-25,300,4.39,1.4
154,Business Card Holder,indirect,Active,2018-10-13,312,4.91,0.79
155,Desk Riser,indirect,Inactive,2017-04-22,302,2.78,2.73
156,Cable Organizer,direct,Active,2020-06-09,313,1.89,2.45
157,Monitor Stand,indirect,Active,2020-04-08,316,3.5,2.39
158,Table Lamp,direct,Inactive,2016-07-31,302,4.48,1.85
159,Calendar,indirect,Inactive,2020-09-09,320,4.44,1.63
160,Desk Dividers,direct,Active,2017-05-10,320,2.59,2.01
161,Desk Mat,direct,Inactive,2018-12-14,303,1.43,1.5
162,Laptop Bag,direct,Active,2015-07-10,310,2.24,2.48
163,Screen Cleaner,indirect,Inactive,2020-04-25,305,4.41,1.08
164,Office Plant,indirect,Inactive,2020-11-27,305,3.05,2.73
165,Desk Shelves,direct,Active,2023-03-29,303,1.66,0.64
166,File Trays,indirect,Inactive,2022-02-18,305,1.49,0.69
167,Pen Holder,indirect,Inactive,2023-05-22,308,1.94,2.06
168,Desk Storage,indirect,Inactive,2020-06-26,305,3.99,2
169,Desk File Organizer,indirect,Inactive,2022-07-09,303,2.04,2.4
170,Desk Bins,indirect,Inactive,2017-01-09,304,1.7,2.99
171,Monitor Arm,indirect,Active,2016-07-25,311,4.46,1.36
172,Wall Organizer,indirect,Inactive,2021-01-19,307,3.52,2.56
173,Mobile File Cart,indirect,Inactive,2017-01-14,309,2.93,1.95
174,Printer Stand,direct,Inactive,2019-04-16,318,3.29,0.97
175,Notebook Holder,direct,Active,2022-09-28,304,1.08,2.49
176,Desk Easel,direct,Active,2015-10-18,300,3.79,2.42
177,Phone Charger,indirect,Inactive,2016-12-24,318,4.51,1.17
178,Laptop Desk,direct,Active,2022-12-31,318,3.26,1.61
179,Cable Clips,direct,Active,2017-08-23,306,1.99,0.6
180,Cord Management,direct,Active,2019-11-19,302,2.18,1.11
181,Desk Labels,indirect,Active,2021-12-04,314,3.27,0.97
182,USB Hub,direct,Inactive,2021-05-29,316,3.26,1.87
183,Drawer Dividers,indirect,Inactive,2017-01-26,311,3.99,1.86
184,Desk Mirror,indirect,Inactive,2023-09-30,317,2.13,2.49
185,Office Timer,direct,Inactive,2024-01-08,300,2.13,0.72
186,Desk Sign,direct,Active,2015-07-09,309,4.1,0.76
187,Desk Name Plate,direct,Inactive,2023-03-02,315,2.35,1.76
188,Desk Magnifier,direct,Inactive,2017-11-19,303,1.98,1.91
189,Desk Footrest,indirect,Inactive,2017-03-03,313,1.99,0.93
190,Desk Organizer Set,direct,Active,2015-04-14,318,3.92,2.38
191,Office Accessories Set,direct,Inactive,2021-01-23,303,4.84,2.51
192,Desk Accessories Set,indirect,Inactive,2019-11-06,314,1.49,2.18
193,Desk Supplies Set,indirect,Inactive,2015-07-22,305,4.7,2.34
194,Office Supply Organizer,direct,Inactive,2021-03-21,305,2.39,1.31
195,Desk Storage Organizer,direct,Active,2022-05-11,311,1.03,2.19
196,Office Desk Organizer,direct,Inactive,2020-12-29,319,4.61,2.39
197,Office Storage Organizer,indirect,Inactive,2016-04-24,311,1.72,2.7
198,Item 99,indirect,Inactive,2017-09-24,317,2.48,1.95
199,Item 100,direct,Active,2018-12-06,317,2.94,1.12
200,Item 101,direct,Inactive,2019-07-02,307,3.74,1.26
201,Item 102,direct,Active,2015-03-09,314,2,0.95
202,Item 103,direct,Inactive,2021-09-19,308,2.77,2.04
203,Item 104,indirect,Active,2020-08-26,301,1.19,1.64
204,Item 105,direct,Inactive,2020-08-06,307,3.29,1.66
205,Item 106,indirect,Inactive,2023-10-01,301,3.87,1.1
206,Item 107,indirect,Inactive,2015-02-25,315,1.43,1.12
207,Item 108,direct,Active,2017-12-18,313,3.35,1.6
208,Item 109,indirect,Active,2015-06-10,314,4.33,1.9
209,Item 110,indirect,Active,2019-01-19,304,2.59,1
210,Item 111,direct,Inactive,2018-03-19,312,3.92,2.63
211,Item 112,indirect,Active,2020-10-23,318,3.73,1.98
212,Item 113,direct,Active,2016-10-04,303,1.59,2.96
213,Item 114,direct,Active,2016-03-18,314,1.38,2.87
214,Item 115,direct,Inactive,2017-10-08,304,4.29,2.2
215,Item 116,direct,Active,2019-12-20,313,1.6,2.44
216,Item 117,indirect,Inactive,2019-06-16,308,3.8,2.41
